名  称,类别,最大占比,相似或相克,水分-克,能量-千卡,蛋白质-克,脂肪-克,碳水化合物-克,膳食纤维-克,胆固醇-毫克,维生素A-微克,维生素B1-毫克,维生素B2-毫克,烟酸-毫克,维生素C-毫克,维生素E-毫克,钙-毫克,磷-毫克,钾-毫克,钠-毫克,镁-毫克,铁-毫克,锌-毫克,硒-微克,铜-毫克,锰-毫克
小麦粉（标准粉）,面粉,1,小麦粉（标准粉）_小麦粉（特二粉）_小麦粉（特一，富强粉）_小麦粉（代表值）,9.9,362,15.7,2.5,70.9,2.1,0,12.7,0.46,0.05,1.91,0,0.32,31,167,190,3.099999905,50,0.6,0.2,7.42,0.06,0.1
小麦粉（特二粉）,面粉,1,小麦粉（标准粉）_小麦粉（特二粉）_小麦粉（特一，富强粉）_小麦粉（代表值）,12,352,10.4,1.1,75.9,1.6,0,0,0.15,0.11,2,0,1.25,30,120,124,1.5,48,3,0.96,6.01,0.58,0.92
小麦粉（特一，富强粉）,面粉,1,小麦粉（标准粉）_小麦粉（特二粉）_小麦粉（特一，富强粉）_小麦粉（代表值）,12.7,351,10.3,1.1,75.2,0.6,0,0,0.17,0.06,2,0,0.73,27,114,128,2.7,32,2.7,0.97,6.88,0.26,0.77
小麦粉（代表值）,面粉,1,小麦粉（标准粉）_小麦粉（特二粉）_小麦粉（特一，富强粉）_小麦粉（代表值）,11.2,359,12.4,1.7,74.1,0.8,0,0,0.2,0.06,1.57,0,0.66,28,136,185,14.1,53,1.4,0.69,7.1,0.23,0.37
全麦面粉,面粉,0.4,,10.74,340,13.21,2.5,71.97,10.7,0,0,0.502,0.165,4.957,0,0,34,357,363,2,137,3.6,2.6,61.8,0.41,4.067
荞麦面,面粉,1,,14.2,340,11.3,2.8,70.2,0,0,2,0.26,0.1,3.47,0,5.31,71,243,304,0.9,151,7,1.94,2.16,0.39,0.59
玉米面（强化豆粉）,面粉,1,玉米面（强化豆粉）_玉米面（白）_玉米面（黄）,13.60000038,352,11.80000019,4.900000095,68.3,6.400000095,0,0,0.209999993,0.039999999,3.099999905,0,7.130000114,18,234,370,1.600000024,106,3.400000095,1.28,9.15,0.38,0.74
玉米面（白）,面粉,1,玉米面（强化豆粉）_玉米面（白）_玉米面（黄）,13.39999962,352,8,4.5,73.1,6.199999809,0,0,0.340000004,0.059999999,3,0,6.889999866,12,187,276,0.5,111,1.299999952,1.22,1.58,0.23,0.4
玉米面（黄）,面粉,1,玉米面（强化豆粉）_玉米面（白）_玉米面（黄）,11.2,350,8.5,1.5,78.4,0,0,3,0.07,0.04,0.8,0,0.98,22,196,249,2.299999952,84,0.4,0.08,2.68,0.01,0.02
小米面,面粉,1,,11.8,357,7.2,2.1,77.7,0.7,0,0,0.13,0.08,2.5,0,0,40,159,129,6.2,57,6.1,1.18,2.82,0.32,0.55
绿豆面,面粉,1,,9.600000381,341,20.79999924,0.699999988,65.8,5.800000191,0,8,0.449999988,0.119999997,0.699999988,0,0,134,304,1055,3.299999952,0,8.100000381,2.68,10.58,1.55,0
莜麦面,面粉,0.2,,8,391,13.7,8.6,67.7,0,0,0,0.2,0.09,0.29,0,0.39,40,259,255,1.8,62,3.8,2.18,2.9,0.41,1.71
牛肉（肥瘦）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,68.1,190,18.1,13.4,0,0,84,4.5,0.03,0.11,7.4,0,0.22,8,168,216,57.4,20,3.2,4.73,6.45,0.18,0.04
牛肉（后腱）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,78.1,93,18,1.8,1.1,0,58,1.5,0.02,0.18,3.7,0,0.74,6,195,182,70.6,20,2.3,3.93,3.82,0.1,0.04
牛肉（后腿）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,77.1,98,19.8,2,0.1,0,58,1,0.02,0.18,5.7,0,0.81,7,210,197,30.6,21,2.1,4.07,4.96,0.11,0.02
牛肉（前腱）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,76.6,100,18.4,2.1,1.8,0,58,1,0.02,0.18,4.1,0,0.42,6,181,182,61.2,22,3,7.61,4.97,0.11,0
牛肉（前腿）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,78,95,15.7,2.4,2.7,0,58,1,0.02,0.19,3.9,0,0.71,7,181,176,54.6,20,1.6,4.5,3.51,0.11,0.05
牛肉（瘦）,牛肉,1,牛肉（肥瘦）_牛肉（后腱）_牛肉（后腿）_牛肉（前腱）_牛肉（前腿）_牛肉（瘦）_牛肉（里脊）_牛肉（五花，肋条）,75.2,106,20.2,2.3,1.2,0,58,3,0.07,0.13,6.3,0,0.35,9,172,284,53.6,21,2.8,3.71,10.55,0.16,0.04
